filter,feature_class,feature,Feature_name,mae,rank
lbp-2D,firstorder,10Percentile,lbp-2D_firstorder_10Percentile,0.2716894801393309,270
lbp-2D,firstorder,90Percentile,lbp-2D_firstorder_90Percentile,0.16013945958492554,95
lbp-2D,firstorder,Energy,lbp-2D_firstorder_Energy,0.0019264891732932578,2
lbp-2D,firstorder,Entropy,lbp-2D_firstorder_Entropy,NA,NA
lbp-2D,firstorder,InterquartileRange,lbp-2D_firstorder_InterquartileRange,0.1530082138489083,81
lbp-2D,firstorder,Kurtosis,lbp-2D_firstorder_Kurtosis,0.22556882424251637,196
lbp-2D,firstorder,Maximum,lbp-2D_firstorder_Maximum,NA,NA
lbp-2D,firstorder,Mean,lbp-2D_firstorder_Mean,0.22176492455638638,190
lbp-2D,firstorder,MeanAbsoluteDeviation,lbp-2D_firstorder_MeanAbsoluteDeviation,0.2512316393008999,236
lbp-2D,firstorder,Median,lbp-2D_firstorder_Median,1.0084222957037083,801
lbp-2D,firstorder,Minimum,lbp-2D_firstorder_Minimum,0.11700827542263459,45
lbp-2D,firstorder,Range,lbp-2D_firstorder_Range,0.11700827542263459,45
lbp-2D,firstorder,RobustMeanAbsoluteDeviation,lbp-2D_firstorder_RobustMeanAbsoluteDeviation,0.3295187030107295,379
lbp-2D,firstorder,RootMeanSquared,lbp-2D_firstorder_RootMeanSquared,0.2217039473602772,189
lbp-2D,firstorder,Skewness,lbp-2D_firstorder_Skewness,0.22880982981999962,201
lbp-2D,firstorder,TotalEnergy,lbp-2D_firstorder_TotalEnergy,0.0019264891732932578,2
lbp-2D,firstorder,Uniformity,lbp-2D_firstorder_Uniformity,NA,NA
lbp-2D,firstorder,Variance,lbp-2D_firstorder_Variance,0.284358262951325,289
lbp-2D,glcm,Autocorrelation,lbp-2D_glcm_Autocorrelation,NA,NA
lbp-2D,glcm,ClusterProminence,lbp-2D_glcm_ClusterProminence,NA,NA
lbp-2D,glcm,ClusterShade,lbp-2D_glcm_ClusterShade,NA,NA
lbp-2D,glcm,ClusterTendency,lbp-2D_glcm_ClusterTendency,NA,NA
